,head,head_replaced,head_translated
7250,PersonX gets a bad grade,someone gets a bad grade,有人成绩不好
7251,PersonX saves another ___,someone saves another something,有人救了另一个东西
7252,PersonX brings down the house,someone brings down the house,有人把房子推倒了
7253,PersonX always bragged,someone always bragged,总有人吹牛
7254,PersonX makes it to the top,someone makes it to the top,有人成功登顶
7255,PersonX gets ___ afterwards,someone gets something afterwards,事后有人得到了什么
7256,PersonX plays PersonY's video game,someone plays someone else's video game,有人在玩别人的电子游戏
7257,PersonX errs on the side of caution,someone errs on the side of caution,有人在谨慎方面犯错
7258,PersonX rubs PersonY's forehead,someone rubs someone else's forehead,有人摩擦别人的额头
7259,PersonX puts horse to work,someone puts horse to work,有人让马干活
7260,PersonX punches PersonY in the eye,someone punches someone else in the eye,有人打了别人的眼睛
7261,PersonX learns a valuable lesson,someone learns a valuable lesson,有人学到了宝贵的一课
7262,PersonX places PersonX's ___ at the disposal,someone places his something at the disposal,有人把他的东西交给别人支配
7263,PersonX sees tomatoes in the fridge,someone sees tomatoes in the fridge,有人看到冰箱里有西红柿
7264,PersonX is super excited,someone is super excited,有人超级兴奋
7265,PersonX communicates ___ to others,someone communicates something to others,某人与他人交流某事
7266,PersonX always wore,someone always wore,总有人穿着
7267,PersonX brings gifts,someone brings gifts,有人带礼物
7268,PersonX cleans the fridge,someone cleans the fridge,有人在清理冰箱
7269,PersonX comes to blows,someone comes to blows,有人来打架
7270,PersonX is offered the job,someone is offered the job,有人得到这份工作
7271,PersonX left behind PersonY,someone left behind someone else,有人落在别人后面
7272,PersonX touches a nerve,someone touches a nerve,有人触碰神经
7273,PersonX remembers PersonY,someone remembers someone else,有人记得别人
7274,PersonX enters PersonX's father 's office,someone enters his father 's office,有人进了他父亲的办公室
7275,PersonX feels dizzy,someone feels dizzy,有人觉得头晕
7276,PersonX loves PersonY's ___ much,someone loves someone else's something much,有人深爱着别人
7277,PersonX confuses PersonY,someone confuses someone else,有人迷惑了别人
7278,PersonX keeps the puppy,someone keeps the puppy,有人养了这只小狗
7279,PersonX comes a cropper,someone comes a cropper,有人摔了一跤
7280,PersonX reduces the ___ much,someone reduces something much,有人减少了很多东西
7281,PersonX buys groceries,someone buys groceries,有人买东西
7282,PersonX gives the cat a treat,someone gives the cat a treat,有人请猫吃
7283,PersonX puts ___ on a plate,someone puts something on a plate,有人把东西放在盘子里
7284,PersonX tries ___ anyway,someone tries something anyway,不管怎样，总有人尝试
7285,PersonX asks PersonY for a date,someone asks someone else for a date,有人约别人约会
7286,PersonX gets tickets,someone gets tickets,有人买票
7287,PersonX gets behind PersonY,someone gets behind someone else,有人跟在别人后面
7288,PersonX softens the ground,someone softens the ground,有人软化了地面
7289,PersonX smiles happily,someone smiles happily,有人开心地笑
7290,PersonX works two jobs,someone works two jobs,有人做两份工作
7291,PersonX recently got,someone recently got,最近有人
7292,PersonX pulls the ___ open,someone pulls something open,有人打开了什么东西
7293,PersonX studies PersonY,someone studies someone else,有人研究别人
7294,PersonX lets PersonY explain,someone lets someone else explain,有人让别人解释
7295,PersonX puts ___ in the bank,someone puts something in the bank,有人把东西放进银行
7296,PersonX takes a train,someone takes a train,有人坐火车
7297,PersonX assists ___ in identifying,someone assists something in identifying,有人帮助我们识别
7298,PersonX is much healthier,someone is much healthier,有人更健康
7299,PersonX gets any better,someone gets any better,有人会变得更好
7300,PersonX devours every ___,someone devours every something,有人吞噬一切
7301,PersonX holds the baby,someone holds the baby,有人抱着孩子
7302,PersonX slams on the breaks,someone slams on the breaks,有人在休息时猛击
7303,PersonX presents another ___,someone presents another something,有人送了另一样东西
7304,PersonX flirts with PersonY,someone flirts with someone else,有人和别人调情
7305,PersonX comes into PersonY's life,someone comes into someone else's life,有人走进别人的生活
7306,PersonX plays the game ___,someone plays the game something,有人在玩游戏
7307,PersonX goes south,someone goes south,有人南下
7308,PersonX tries a new trick,someone tries a new trick,有人尝试新把戏
7309,PersonX walks PersonX's dogs,someone walks his dogs,有人遛狗
7310,PersonX meets PersonX's customers ' ___,someone meets his customers ' something,有人遇见他的顾客
7311,PersonX fixes things,someone fixes things,有人修理东西
7312,PersonX makes homemade ice cream,someone makes homemade ice cream,有人自制冰淇淋
7313,PersonX decides to help,someone decides to help,有人决定帮忙
7314,PersonX comes ___ to roost,someone comes something to roost,有人来自食其果
7315,PersonX begins to panic,someone begins to panic,有人开始恐慌
7316,PersonX teaches computer to children,someone teaches computer to children,有人教孩子学电脑
7317,PersonX buys ___ early,someone buys something early,有人买东西很早
7318,PersonX accepts PersonY offer,someone accepts someone else offer,有人接受别人的提议
7319,PersonX is going to be okay,someone is going to be okay,会有人没事的
7320,PersonX closes the stable door after the horse has bolted,someone closes the stable door after the horse has bolted,有人在马逃跑后关上马厩的门
7321,PersonX always put ___,someone always put something,总有人把东西
7322,PersonX wonders would happen,someone wonders would happen,会有奇迹发生
7323,PersonX ignores the warning,someone ignores the warning,有人忽略了警告
7324,PersonX spends the afternoon,someone spends the afternoon,有人花了整个下午
7325,PersonX directs every ___,someone directs every something,有人指挥着一切
7326,PersonX has a bag every day,someone has a bag every day,有人每天都有一个包
7327,PersonX leaves the grocery store,someone leaves the grocery store,有人离开了杂货店
7328,PersonX takes ___ away from PersonY,someone takes something away from someone else,有人夺走了别人的东西
7329,PersonX updates PersonX's wardrobe,someone updates his wardrobe,有人更新了他的衣柜
7330,PersonX kills birds with stone,someone kills birds with stone,有人用石头杀鸟
7331,PersonX is learning to walk,someone is learning to walk,有人在学走路
7332,PersonX makes the purchase,someone makes the purchase,有人买了
7333,PersonX turns the boat,someone turns the boat,有人把船
7334,PersonX knows ___ better,someone knows something better,有人更了解
7335,PersonX works the next morning,someone works the next morning,第二天早上有人上班
7336,PersonX has a hard day at work,someone has a hard day at work,有人今天工作很辛苦
7337,PersonX has a sore throat,someone has a sore throat,有人喉咙痛
7338,PersonX cleans PersonY's room,someone cleans someone else's room,有人打扫别人的房间
7339,PersonX takes place in the century,someone takes place in the century,有人发生在世纪
7340,PersonX jumps over the lazy dog,someone jumps over the lazy dog,有人跳过那只懒狗
7341,PersonX bats a thousand,someone bats a thousand,有人打了一千
7342,PersonX begins to bleed,someone begins to bleed,有人开始流血
7343,PersonX urges PersonY to come,someone urges someone else to come,有人催促别人来
7344,PersonX gets someone else,someone gets someone else,有人找别人
7345,PersonX brings a knife to a gunfight,someone brings a knife to a gunfight,有人带刀参加枪战
7346,PersonX fills PersonY's ___ with air,someone fills someone else's something with air,有人用空气填满别人的东西
7347,PersonX plays a ___ in life,someone plays something in life,有人在生活中扮演某种角色
7348,PersonX changes PersonY's mind,someone changes someone else's mind,有人改变了别人的想法
7349,PersonX brings PersonY the news,someone brings someone else the news,有人给别人带来消息
7350,PersonX produces PersonY result,someone produces someone else result,有人制造了别人的结果
7351,PersonX contributes to PersonY's success,someone contributes to someone else's success,有人为别人的成功做出了贡献
7352,PersonX has long hair,someone has long hair,有人留长发
7353,PersonX stays at home,someone stays at home,有人待在家里
7354,PersonX moves house,someone moves house,有人搬家了
7355,PersonX attends church for the first time,someone attends church for the first time,有人第一次去教堂
7356,PersonX notices another ___,someone notices another something,有人注意到另一个东西
7357,PersonX takes PersonY's truck,someone takes someone else's truck,有人偷了别人的车
7358,PersonX influences people 's ___,someone influences people 's something,有人影响人们的某些东西。
7359,PersonX meets ___ at the door,someone meets something at the door,有人在门口碰到了什么东西
7360,PersonX watches ___ one night,someone watches something one night,一天晚上有人在看什么东西
7361,PersonX never ate watermelon,someone never ate watermelon,有人从来不吃西瓜
7362,PersonX gives PersonY a ride home,someone gives someone else a ride home,有人载别人回家
7363,PersonX brings the ___ to a conclusion,someone brings something to a conclusion,有人得出结论
7364,PersonX brings ___ to the zoo,someone brings something to the zoo,有人给动物园带来了东西
7365,PersonX buys a car,someone buys a car,有人买了辆车
7366,PersonX continues driving,someone continues driving,有人继续开车
7367,PersonX makes dessert that night,someone makes dessert that night,当晚有人做甜点
7368,PersonX wants to leave,someone wants to leave,有人想离开
7369,PersonX knows PersonX's own mind,someone knows his own mind,有人知道自己的想法
7370,PersonX reduces PersonY's risk,someone reduces someone else's risk,有人降低了别人的风险
7371,PersonX pockets dial,someone pockets dial,某人口袋拨号
7372,PersonX tastes weird,someone tastes weird,有人尝起来怪怪的
7373,PersonX gives PersonY directions,someone gives someone else directions,有人给别人指路
7374,PersonX drives to work,someone drives to work,有人开车上班
7375,PersonX understands ___ well,someone understands something well,有人很了解某事
7376,PersonX attends another ___,someone attends another something,某人参加另一个活动
7377,PersonX scars of the dark,someone scars of the dark,黑暗的伤痕
7378,PersonX lets ___ back,someone lets something back,有人把东西放回去
7379,PersonX crosses that ___ when come,someone crosses that something when come,当有人来的时候
7380,PersonX bears oneself,someone bears oneself,有人忍受自己
7381,PersonX gets knocked out,someone gets knocked out,有人被打晕了
7382,PersonX bears witness to the PersonY,someone bears witness to the someone else,有人为其他人作证
7383,PersonX goes to school the next day,someone goes to school the next day,第二天有人去上学
7384,PersonX brings the ___ into contact,someone brings something into contact,有人带来了某种联系
7385,PersonX takes care of PersonY ___,someone takes care of someone else something,有人照顾别人
7386,PersonX sleeps all day,someone sleeps all day,有人整天睡觉
7387,PersonX affects ___ in ways,someone affects something in ways,某人以某种方式影响某事
7388,PersonX lifts PersonY's head up,someone lifts someone else's head up,有人抬起别人的头
7389,PersonX gets everyone 's ___,someone gets everyone 's something,有人得到每个人的东西
7390,PersonX pisses up a rope,someone pisses up a rope,有人尿了根绳子
7391,PersonX pays the bill,someone pays the bill,有人付账
7392,PersonX listens to PersonX's parents,someone listens to his parents,有人听他父母的话
7393,PersonX is afraid of the water,someone is afraid of the water,有人怕水
7394,PersonX enjoys every ___,someone enjoys every something,有人享受一切
7395,PersonX plays PersonX's music,someone plays his music,有人演奏他的音乐
7396,PersonX brings home a pineapple,someone brings home a pineapple,有人把菠萝带回家
7397,PersonX celebrates with PersonY,someone celebrates with someone else,有人和别人一起庆祝
7398,PersonX exchanges flesh,someone exchanges flesh,有人交换肉体
7399,PersonX takes PersonX's bike,someone takes his bike,有人拿走了他的自行车
7400,PersonX gives PersonY treatment,someone gives someone else treatment,有人给别人治疗
7401,PersonX shows PersonX's friends ___,someone shows his friends something,有人给他的朋友看些东西
7402,PersonX expresses PersonX's opinion,someone expresses his opinion,有人表达了他的观点
7403,PersonX calls PersonX's friends over,someone calls his friends over,有人叫他的朋友过来
7404,PersonX enlighteneth every ___,someone enlighteneth every something,有人启发每一件事
7405,PersonX expresses PersonY opinion as,someone expresses someone else opinion as,有人把别人的意见说成
7406,PersonX moves the yardsticks,someone moves the yardsticks,有人移动标尺
7407,PersonX keeps PersonY's balance,someone keeps someone else's balance,有人保持着别人的平衡
7408,PersonX puts it back together,someone puts it back together,有人把它重新组合在一起
7409,PersonX smells really bad,someone smells really bad,有人闻起来很难闻
7410,PersonX steps towards PersonY,someone steps towards someone else,有人走向另一个人
7411,PersonX gets PersonY home,someone gets someone else home,有人送别人回家
7412,PersonX makes PersonY go,someone makes someone else go,有人让别人离开
7413,PersonX runs another ___,someone runs another something,有人在经营别的东西
7414,PersonX crosses the rubicon,someone crosses the rubicon,有人越过卢比孔
7415,PersonX touches PersonY,someone touches someone else,有人碰了别人
7416,PersonX takes PersonX's wallet,someone takes his wallet,有人拿走了他的钱包
7417,PersonX takes PersonY to the doctor,someone takes someone else to the doctor,有人带别人去看医生
7418,PersonX never looked,someone never looked,有人从来没看过
7419,PersonX writes PersonY account,someone writes someone else account,有人写了别人的账户
7420,PersonX goes out on a limb,someone goes out on a limb,有人冒着危险出去了
7421,PersonX wants to wake,someone wants to wake,有人想醒过来
7422,PersonX finds PersonY ___ back,someone finds someone else something back,有人找到了另一个人
7423,PersonX would like it,someone would like it,有人会喜欢的
7424,PersonX finds pens by side,someone finds pens by side,有人在旁边找到钢笔
7425,PersonX passes in PersonY's mind,someone passes in someone else's mind,有人从别人的脑海中掠过
7426,PersonX always carried ___,someone always carried something,总有人带着东西
7427,PersonX says a word,someone says a word,有人说了一句话
7428,PersonX is expecting PersonY's first child,someone is expecting someone else's first child,有人在等别人的第一个孩子
7429,PersonX is working all day,someone is working all day,有人整天工作
7430,PersonX goes work,someone goes work,有人去工作了
7431,PersonX borrows ___ to buy,someone borrows something to buy,有人借东西买东西
7432,PersonX sings PersonY's song,someone sings someone else's song,有人唱别人的歌
7433,PersonX starts a band,someone starts a band,有人组建了一支乐队
7434,PersonX looks on PersonY's face,someone looks on someone else's face,有人看着别人的脸
7435,PersonX gets a hold of PersonY,someone gets a hold of someone else,有人找到了其他人
7436,PersonX sells PersonX's old one,someone sells his old one,有人把旧的卖了
7437,PersonX cuts it fine,someone cuts it fine,有人把它切好了
7438,PersonX parks truck in the garage,someone parks truck in the garage,有人把卡车停在车库里
7439,PersonX risks PersonX's lives,someone risks his lives,有人冒着生命危险
7440,PersonX tells PersonY believed,someone tells someone else believed,有人告诉别人
7441,PersonX brings ___ to work,someone brings something to work,有人带来了工作
7442,PersonX has a christmas party,someone has a christmas party,有人有圣诞派对
7443,PersonX stands directly in front,someone stands directly in front,有人站在正前方
7444,PersonX wears PersonX's heart on PersonX's sleeve,someone wears his heart on his sleeve,有人把他的心戴在袖子上
7445,PersonX copies PersonY,someone copies someone else,有人模仿别人
7446,PersonX also gave PersonY,someone also gave someone else,有人还送了别人
7447,PersonX eventually bought,someone eventually bought,有人最终买下了
7448,PersonX causes PersonY,someone causes someone else,有人引起了别人
7449,PersonX takes another ___,someone takes another something,有人拿走了另一样东西
7450,PersonX is shot and killed,someone is shot and killed,有人中弹身亡
7451,PersonX is at work one day,someone is at work one day,有一天有人在上班
7452,PersonX tells PersonY's coworkers,someone tells someone else's coworkers,有人告诉别人的同事
7453,PersonX considers the ___ carefully,someone considers something carefully,某人仔细考虑某事
7454,PersonX buys a gift card,someone buys a gift card,有人买了张礼品卡
7455,PersonX applies to medical school,someone applies to medical school,有人申请医学院
7456,PersonX takes ___ in the morning,someone takes something in the morning,有人早上吃东西
7457,PersonX starts crying,someone starts crying,有人开始哭泣
7458,PersonX takes PersonX's allowance,someone takes his allowance,有人拿走了他的零用钱
7459,PersonX pulls PersonX's ___ away,someone pulls his something away,有人拿走了他的东西
7460,PersonX throws a party for PersonY's friends,someone throws a party for someone else's friends,有人为别人的朋友开派对
7461,PersonX says would come,someone says would come,有人说会来
7462,PersonX hides and seek,someone hides and seek,有人藏起来寻找
7463,PersonX rips open a pack,someone rips open a pack,有人撕开了一包
7464,PersonX meets PersonY at the park,someone meets someone else at the park,有人在公园遇见了其他人
7465,PersonX asks my friend,someone asks my friend,有人问我的朋友
7466,PersonX gives PersonY static,someone gives someone else static,有人给别人发静电
7467,PersonX tilts PersonY's head slightly,someone tilts someone else's head slightly,有人稍微倾斜别人的头
7468,PersonX works on PersonX,someone works on himself,有人为自己工作
7469,PersonX cleans PersonY's house,someone cleans someone else's house,有人打扫别人的房子
7470,PersonX teaches PersonY things,someone teaches someone else things,有人教别人东西
7471,PersonX calls PersonX's family,someone calls his family,有人打电话给他的家人
7472,PersonX eats orange every single day,someone eats orange every single day,每天有人吃橘子
7473,PersonX walks to the car,someone walks to the car,有人走向汽车
7474,PersonX buys a used one,someone buys a used one,有人买了个旧的
7475,PersonX rides an elephant,someone rides an elephant,有人骑大象
7476,PersonX prevents PersonY from reaching,someone prevents someone else from reaching,有人阻止别人
7477,PersonX gets PersonX's bearings,someone gets his bearings,有人知道他的方位
7478,PersonX drives or pilot a car until learn,someone drives or pilot a car until learn,有人驾驶或驾驶汽车直到学会
7479,PersonX goes dress shopping,someone goes dress shopping,有人去买衣服
7480,PersonX plays something else,someone plays something else,有人弹别的东西
7481,PersonX makes noodles immediately,someone makes noodles immediately,有人马上做面条
7482,PersonX gathers PersonY's ___ together,someone gathers someone else's something together,有人把别人的东西聚集在一起
7483,PersonX has a new puppy,someone has a new puppy,有人有了新的小狗
7484,PersonX enjoys ___ much,someone enjoys something much,某人非常喜欢某事
7485,PersonX rewards PersonY,someone rewards someone else,有人奖励别人
7486,PersonX derives PersonY's name,someone derives someone else's name,有人想出了别人的名字
7487,PersonX answers PersonY questions,someone answers someone else questions,有人回答别人的问题
7488,PersonX gives PersonX's name,someone gives his name,有人说出了他的名字
7489,PersonX plays the guitar,someone plays the guitar,有人弹吉他
7490,PersonX waters PersonY's garden,someone waters someone else's garden,有人给别人的花园浇水
7491,PersonX has the time of PersonX's lives,someone has the time of his lives,有人拥有生命中最美好的时光
7492,PersonX plays soccer,someone plays soccer,有人踢足球
7493,PersonX watches television,someone watches television,有人看电视
7494,PersonX whispers into PersonY's ear,someone whispers into someone else's ear,有人对着别人耳语
7495,PersonX cuts PersonY's ___ according,someone cuts someone else's something according,有人砍了别人的东西
7496,PersonX has eyes in the back of PersonX's head,someone has eyes in the back of his head,有人后脑勺长了眼睛
7497,PersonX shows PersonY everything,someone shows someone else everything,有人向别人展示了一切
7498,PersonX gets PersonX's shirt out,someone gets his shirt out,有人把衬衫拿出来
7499,PersonX finds another job,someone finds another job,有人找到了另一份工作
7500,PersonX leaves the school,someone leaves the school,有人离开学校
7501,PersonX changes PersonY's minds,someone changes someone else's minds,有人改变了别人的想法
7502,PersonX records PersonY,someone records someone else,有人记录别人
7503,PersonX offer fruit to the gods,someone offer fruit to the gods,有人向上帝献果
7504,PersonX changes PersonX's tone,someone changes his tone,有人改变了语气
7505,PersonX gets great grades,someone gets great grades,有人成绩很好
7506,PersonX keeps the ___ from the door,someone keeps something from the door,有人把东西放在门外
7507,PersonX is heart broken,someone is heart broken,有人心碎了
7508,PersonX realizes fully the ___,someone realizes fully something,有人完全意识到
7509,PersonX builds PersonY's houses,someone builds someone else's houses,有人建造别人的房子
7510,PersonX gives PersonY a chance,someone gives someone else a chance,有人给了别人机会
7511,PersonX cleans PersonY's car,someone cleans someone else's car,有人清理别人的车
7512,PersonX bears PersonY children,someone bears someone else children,有人生了别人的孩子
7513,PersonX drinks another ___,someone drinks another something,有人喝了别的东西
7514,PersonX makes chocolate chip cookies,someone makes chocolate chip cookies,有人做巧克力饼干
7515,PersonX reviews briefly the ___,someone reviews briefly something,某人简要回顾某事
7516,PersonX hears a loud crack,someone hears a loud crack,有人听到一声巨响
7517,PersonX holds a repair together,someone holds a repair together,有人在一起修理
7518,PersonX places PersonX's ___ on the throne,someone places his something on the throne,有人把他的东西放在宝座上
7519,PersonX improves PersonX's grade,someone improves his grade,有人提高了成绩
7520,PersonX knows this car well,someone knows this car well,有人很了解这辆车
7521,PersonX always enjoyed ___,someone always enjoyed something,总有人喜欢
7522,PersonX rids PersonY's bikes,someone rids someone else's bikes,有人偷了别人的自行车
7523,PersonX does what PersonY loves,someone does what someone else loves,做别人喜欢的事
7524,PersonX loves PersonX's ___ dearly,someone loves his something dearly,有人深爱他的东西
7525,PersonX wrests ___ away,someone wrests something away,有人夺走了什么
7526,PersonX has the most unruly curly hair,someone has the most unruly curly hair,有人的卷发最不羁
7527,PersonX burns the candle at both ends,someone burns the candle at both ends,有人蜡烛两头烧
7528,PersonX finds ___ in life,someone finds something in life,有人在生活中发现了一些东西
7529,single person chair,single person chair,单人椅
7530,PersonX delivers a package,someone delivers a package,有人送包裹
7531,PersonX tries to leave,someone tries to leave,有人想离开
7532,PersonX precedes PersonY's death,someone precedes someone else's death,在别人死之前
7533,PersonX rubs PersonY's thumb,someone rubs someone else's thumb,有人摩擦别人的拇指
7534,PersonX slams the door,someone slams the door,有人砸门
7535,PersonX washes PersonY's sheets,someone washes someone else's sheets,有人洗别人的床单
7536,PersonX loses all the money,someone loses all the money,有人把钱都丢了
7537,PersonX sings a song,someone sings a song,有人在唱歌
7538,PersonX gets PersonY opportunity,someone gets someone else opportunity,有人给别人机会
7539,PersonX eats at a nice restaurant,someone eats at a nice restaurant,有人在一家不错的餐馆吃饭
7540,PersonX says ___ yet,someone says something yet,有人说了些什么
7541,PersonX covers PersonX's bases,someone covers his bases,有人掩护他
7542,PersonX gives PersonY a big hug,someone gives someone else a big hug,有人给了别人一个大大的拥抱
7543,PersonX takes a breath,someone takes a breath,有人吸了口气
7544,PersonX boils noodles on the stove,someone boils noodles on the stove,有人在炉子上煮面条
7545,persony,someone,有人
7546,PersonX asks PersonY to accept,someone asks someone else to accept,有人要求别人接受
7547,PersonX gets sunburned,someone gets sunburned,有人被晒伤了
7548,PersonX loses forty pounds,someone loses forty pounds,有人瘦了四十磅
7549,PersonX accepts PersonY's offer,someone accepts someone else's offer,有人接受别人的提议
7550,PersonX calls the police on PersonY,someone calls the police on someone else,有人报警
7551,PersonX expresses PersonX's thoughts,someone expresses his thoughts,有人表达他的想法
7552,PersonX takes the fifth,someone takes the fifth,有人拿走了第五个
7553,PersonX looks away,someone looks away,有人把目光移开
7554,PersonX speaks PersonX's language,someone speaks his language,有人说他的语言
7555,PersonX watches the news,someone watches the news,有人看新闻
7556,PersonX runs track,someone runs track,有人跟踪
7557,PersonX drinks every ___,someone drinks every something,有人什么都喝
7558,PersonX is selling cookies,someone is selling cookies,有人在卖饼干
7559,PersonX penetrates every opening,someone penetrates every opening,有人穿透每个开口
7560,PersonX walks into the living room,someone walks into the living room,有人走进客厅
7561,PersonX sells electronics online,someone sells electronics online,有人在网上卖电子产品
7562,PersonX traps PersonY,someone traps someone else,有人陷害别人
7563,PersonX finds PersonY one,someone finds someone else one,有人找了别人
7564,PersonX writes PersonX's first novel,someone writes his first novel,有人写了他的第一部小说
7565,PersonX looks just like PersonY,someone looks just like someone else,有些人看起来就像其他人
7566,PersonX wants PersonY to go,someone wants someone else to go,有人想让别人去
7567,PersonX taps PersonY's foot,someone taps someone else's foot,有人轻拍别人的脚
7568,PersonX expresses freely PersonX's ___,someone expresses freely his something,某人自由地表达他的某事
7569,PersonX finds sales at the store,someone finds sales at the store,有人在商店里找到了销路
7570,PersonX breaks PersonX's hand,someone breaks his hand,有人弄伤了他的手
7571,PersonX changes the ___ to something,someone changes something to something,某人把某物改变成某物
7572,PersonX throws PersonX's rocks into the scale,someone throws his rocks into the scale,有人把石头扔进天平
7573,PersonX lives in PersonY age,someone lives in someone else age,有人生活在另一个时代
7574,PersonX uses ___ anyway,someone uses something anyway,有人用了什么东西
7575,PersonX accepts the fact,someone accepts the fact,有人接受事实
7576,PersonX would hire PersonY,someone would hire someone else,会有人雇别人
7577,PersonX gets very nervous,someone gets very nervous,有人很紧张
7578,PersonX runs PersonY risk,someone runs someone else risk,有人在冒险
7579,PersonX almost hit ___,someone almost hit something,有人差点撞到什么东西
7580,PersonX rushes to PersonY's side,someone rushes to someone else's side,有人冲到别人身边
7581,PersonX floors it,someone floors it,有人在地板上
7582,PersonX squeezes PersonY's hand,someone squeezes someone else's hand,有人捏别人的手
7583,PersonX always wondered,someone always wondered,总有人怀疑
7584,PersonX cancels PersonX's appointment,someone cancels his appointment,有人取消了他的约会
7585,PersonX comes home the ___,someone comes home something,有人回家了
7586,PersonX decides to buy a new pair,someone decides to buy a new pair,有人决定买一双新的
7587,PersonX buys some groceries,someone buys some groceries,有人买了些杂货
7588,PersonX picks PersonY's favorite,someone picks someone else's favorite,有人挑了别人的最爱
7589,PersonX takes ___ to develop,someone takes something to develop,有人需要一些东西来发展
7590,PersonX blows PersonY's mind,someone blows someone else's mind,有人让别人神魂颠倒
7591,PersonX commits another ___,someone commits another something,有人犯了另一件事
7592,PersonX means business,someone means business,有人是认真的
7593,PersonX quickly got ___,someone quickly got something,有人很快得到了什么
7594,PersonX finds PersonX's ball,someone finds his ball,有人找到了他的球
7595,PersonX eventually moved,someone eventually moved,最终有人搬走了
7596,PersonX catches flies,someone catches flies,有人抓苍蝇
7597,PersonX climbs back down,someone climbs back down,有人爬了下来
7598,PersonX eats pork,someone eats pork,有人吃猪肉
7599,PersonX is getting sick,someone is getting sick,有人生病了
7600,PersonX meets the organization 's ___,someone meets the organization 's something,有人遇到了组织的某些东西
7601,PersonX picks flowers,someone picks flowers,有人摘花
7602,PersonX saves PersonX's father 's ___,someone saves his father 's something,有人救了他父亲
7603,PersonX wears it to school,someone wears it to school,有人穿着它去学校
7604,PersonX rules the ___ for years,someone rules something for years,某人统治某物多年
7605,PersonX forms a ___ on the surface,someone forms something on the surface,有人在表面形成了某种东西
7606,PersonX clutches ___ to PersonY's chest,someone clutches something to someone else's chest,有人在别人的胸口抓住了什么
7607,PersonX wins the race,someone wins the race,有人赢了比赛
7608,PersonX sits together,someone sits together,有人坐在一起
7609,PersonX keeps the ___ in repair,someone keeps something in repair,有人在修理东西
7610,PersonX has PersonX's wits about PersonX,someone has his wits about someone,某人有他的智慧
7611,PersonX walks home from the grocery store,someone walks home from the grocery store,有人从杂货店走回家
7612,PersonX wishes PersonY well,someone wishes someone else well,有人祝福别人
7613,PersonX raises PersonX's ___ to PersonX's lips,someone raises his something to his lips,有人把他的东西举到嘴边
7614,PersonX cries every ___,someone cries every something,有人什么都哭
7615,PersonX puts the ___ into operation,someone puts something into operation,有人将某物投入运行
7616,PersonX takes a cab home,someone takes a cab home,有人打车回家
7617,PersonX gives it PersonY's name,someone gives it someone else's name,有人给它起了别人的名字
7618,PersonX grinds rocks for a month,someone grinds rocks for a month,有人磨了一个月的石头
7619,PersonX loves PersonY's beard,someone loves someone else's beard,有人喜欢别人的胡子
7620,PersonX dates for five years,someone dates for five years,有人约会五年
7621,PersonX puts ___ in the dryer,someone puts something in the dryer,有人把东西放进烘干机
7622,PersonX wears PersonX's boots,someone wears his boots,有人穿着他的靴子
7623,PersonX sits in the living room,someone sits in the living room,有人坐在客厅里
7624,PersonX takes time,someone takes time,有人需要时间
7625,PersonX drives down the highway,someone drives down the highway,有人在高速公路上开车
7626,PersonX goes down the drain,someone goes down the drain,有人掉进了下水道
7627,PersonX turns a phrase,someone turns a phrase,有人把一个短语变成
7628,PersonX buys it immediately,someone buys it immediately,马上有人买
7629,PersonX satisfies PersonY's wants,someone satisfies someone else's wants,有人满足别人的需要
7630,PersonX has a party at PersonX's house,someone has a party at his house,有人在他家开派对
7631,PersonX feels uneasy,someone feels uneasy,有人感到不安
7632,PersonX visits new york city,someone visits new york city,有人访问纽约市
7633,PersonX turns PersonY's body,someone turns someone else's body,有人把别人的身体
7634,PersonX dunks a basketball,someone dunks a basketball,有人扣篮
7635,PersonX heads outside,someone heads outside,有人出去了
7636,PersonX always admired ___,someone always admired something,总有人羡慕
7637,PersonX gives PersonY a makeover,someone gives someone else a makeover,有人给别人改头换面
7638,PersonX brings home a gift,someone brings home a gift,有人把礼物带回家
7639,PersonX takes ___ to the emergency room,someone takes something to the emergency room,有人拿东西去急诊室
7640,PersonX has to take PersonY to the hospital,someone has to take someone else to the hospital,得有人送别人去医院
7641,PersonX fulfills PersonX's purpose,someone fulfills his purpose,有人达到了他的目的
7642,PersonX buys ___ for PersonX's family,someone buys something for his family,有人给家人买东西
7643,PersonX gives PersonY a kiss,someone gives someone else a kiss,有人给了别人一个吻
7644,PersonX packs PersonY's stuff,someone packs someone else's stuff,有人把别人的东西
7645,PersonX gets lost,someone gets lost,有人迷路了
7646,PersonX gets done,someone gets done,有人完成了
7647,PersonX is quite nervous,someone is quite nervous,有人很紧张
7648,PersonX grinds PersonX's gears,someone grinds his gears,有人磨他的齿轮
7649,PersonX holds ___ in place,someone holds something in place,某人把某物放在适当的位置
7650,PersonX holds water,someone holds water,有人拿着水
7651,PersonX goes ___ tomorrow,someone goes something tomorrow,有人明天有事
7652,PersonX puts PersonY's ___ into words,someone puts someone else's something into words,有人把别人的东西用言语表达出来
7653,PersonX quotes ___ in a review,someone quotes something in a review,有人在评论中引用了一些东西
7654,PersonX goes to canossa,someone goes to canossa,有人去了卡诺萨
7655,PersonX takes PersonY opportunity,someone takes someone else opportunity,有人给别人机会
7656,PersonX puts through the wringer,someone puts through the wringer,有人经历了痛苦
